Wall Time,Step,Accuracy,Zone,Run
1550115885,0,0.0999,us-central1-c,1
1550116022,4021,0.391499996,us-central1-c,1
1550116162,8029,0.433099985,us-central1-c,1
1550116299,12041,0.507600009,us-central1-c,1
1550116376,16059,0.668900013,us-central1-c,1
1550116514,20069,0.795899987,us-central1-c,1
1550116591,24070,0.743700027,us-central1-c,1
1550116728,28072,0.841600001,us-central1-c,1
1550116865,32086,0.886699975,us-central1-c,1
1550116942,36088,0.899800003,us-central1-c,1
1550117079,40098,0.898500025,us-central1-c,1
1550117157,44111,0.898299992,us-central1-c,1
1550117294,48121,0.897099972,us-central1-c,1
1550117432,52126,0.900699973,us-central1-c,1
1550117509,56141,0.900099993,us-central1-c,1
1550117647,60144,0.898899972,us-central1-c,1
1550117724,64011,0.899900019,us-central1-c,1
1550122928,0,0.100000001,us-central1-c,2
1550123066,4021,0.477400005,us-central1-c,2
1550123204,8029,0.615499973,us-central1-c,2
1550123281,12037,0.742500007,us-central1-c,2
1550123419,16039,0.806699991,us-central1-c,2
1550123497,20051,0.813899994,us-central1-c,2
1550123633,24053,0.80400002,us-central1-c,2
1550123770,28058,0.848100007,us-central1-c,2
1550123847,32065,0.872500002,us-central1-c,2
1550123985,36071,0.89230001,us-central1-c,2
1550124063,40083,0.893899977,us-central1-c,2
1550124200,44087,0.893299997,us-central1-c,2
1550124277,48091,0.8926,us-central1-c,2
1550124415,52104,0.893299997,us-central1-c,2
1550124553,56110,0.89200002,us-central1-c,2
1550124630,60118,0.89319998,us-central1-c,2
1550124768,64010,0.894400001,us-central1-c,2
1550125531,0,0.069499999,us-central1-c,3
1550125668,4020,0.375999987,us-central1-c,3
1550125745,8032,0.480199993,us-central1-c,3
1550125882,12041,0.593100011,us-central1-c,3
1550126019,16052,0.689100027,us-central1-c,3
1550126095,20060,0.738900006,us-central1-c,3
1550126233,24064,0.770200014,us-central1-c,3
1550126310,28080,0.764999986,us-central1-c,3
1550126447,32087,0.882000029,us-central1-c,3
1550126585,36109,0.902800024,us-central1-c,3
1550126662,40114,0.901600003,us-central1-c,3
1550126799,44123,0.902199984,us-central1-c,3
1550126876,48136,0.900699973,us-central1-c,3
1550127013,52139,0.904600024,us-central1-c,3
1550127150,56150,0.903699994,us-central1-c,3
1550127227,60156,0.903199971,us-central1-c,3
1550127365,64012,0.904600024,us-central1-c,3
1550127968,0,0.100000001,us-central1-c,4
1550128105,4021,0.345699996,us-central1-c,4
1550128243,8030,0.594200015,us-central1-c,4
1550128381,12040,0.720300019,us-central1-c,4
1550128457,16051,0.762600005,us-central1-c,4
1550128595,20061,0.757200003,us-central1-c,4
1550128672,24069,0.807500005,us-central1-c,4
1550128809,28073,0.762600005,us-central1-c,4
1550128947,32082,0.877200007,us-central1-c,4
1550129025,36094,0.891200006,us-central1-c,4
1550129163,40107,0.886699975,us-central1-c,4
1550129240,44116,0.888400018,us-central1-c,4
1550129376,48123,0.886799991,us-central1-c,4
1550129454,52128,0.890399992,us-central1-c,4
1550129592,56141,0.889299989,us-central1-c,4
