K80,,
VM name,Start,Terminate
a-v100-us-central1-a-0less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-1less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-2less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-3less,2/21/19 20:20,2/22/19 21:03
a-v100-us-central1-a-4less,2/21/19 20:20,2/22/19 21:03
Previous experiments,,
8-May,created,terminated
test0,09:49:51,10:28:22
test0less,09:49:53,11:32:09
test1,09:49:53,18:32:20
test1less,09:49:56,10:52:12
test2,09:50:57,13:00:10
test2less,09:50:59,11:56:14
test3,09:51:04,18:16:22
test3less,09:51:00,12:36:20
test4,09:52:01,21:16:25
test4less,09:52:02,15:20:16
test5,09:52:31,11:56:14
test5less,09:52:16,15:12:04
test0night,21:37:18,09:12:26
test0lessnight,21:37:20,21:41:17
test1night,21:37:40,04:32:10
test1lessnight,21:37:22,22:36:15
test2night,21:38:23,23:52:10
test2lessnight,21:38:22,21:41:18
test3night,21:38:32,21:41:18
test3lessnight,21:38:25,10:00:11
test4night,21:39:35,21:41:10
test4lessnight,21:39:36,01:52:09
test5night,21:39:42,21:41:17
test5lessnight,21:39:34,21:41:16
9-May,,
test0,09:15:04,09:36:05
test0less,09:14:57,09:36:04
test1,09:14:58,09:36:04
test1less,09:15:04,09:36:03
test2,09:16:08,09:36:03
test2less,09:16:07,09:36:04
test3,09:16:14,10:44:24
test3less,09:16:28,09:36:05
test4,09:17:18,09:36:04
test4less,09:17:31,09:36:05
test5,09:17:21,09:36:03
test5less,09:17:15,09:36:03
test0night,22:02:21,22:28:09
test0lessnight,22:02:20,22:09:34
test1night,22:02:20,22:09:44
test1lessnight,22:02:20,22:09:33
test2night,22:03:11,22:09:27
test2lessnight,22:03:09,22:09:35
test3night,22:03:17,22:09:34
test3lessnight,22:03:16,22:09:33
test4night,22:04:29,22:09:28
test4lessnight,22:04:28,22:09:34
test5night,22:04:28,22:09:28
test5lessnight,22:04:24,22:09:34
10-May,,
test0,09:52:06,10:07:32
test0less,09:52:06,10:07:32
test1,09:52:07,10:07:32
test1less,09:52:07,10:07:38
test2,09:53:12,10:07:37
test2less,09:53:34,10:07:31
test3,09:53:19,10:07:31
test3less,09:53:19,10:07:32
test4,09:54:17,10:07:32
test4less,09:54:27,10:07:31
test5,09:54:27,10:07:32
test5less,09:54:28,22:44:11
test0night,22:16:35,00:40:17
test0lessnight,22:16:45,22:36:33
test1night,22:16:44,22:36:32
test1lessnight,22:16:45,22:36:33
test2night,22:17:26,22:36:34
test2lessnight,22:17:27,22:36:33
test3night,22:17:58,22:36:33
test3lessnight,22:17:38,22:36:34
test4night,22:18:39,10:48:18
test4lessnight,22:18:37,22:36:33
test5night,22:18:44,22:36:34
test5lessnight,22:18:38,22:36:33
11-May,,
test0,10:14:24,10:38:37
test0less,10:14:34,10:38:37
test1,10:14:34,10:38:38
test1less,10:14:29,10:38:36
test2,10:15:36,10:38:37
test2less,10:15:37,12:31:52
test3,10:15:56,10:38:36
test3less,10:16:03,10:38:38
test4,10:17:06,10:38:37
test4less,10:16:41,10:38:36
test5,10:16:49,10:38:36
test5less,10:16:52,10:38:37
test0night,22:41:29,23:06:46
test0lessnight,22:41:01,23:06:45
test1night,22:41:11,23:06:40
test1lessnight,22:41:12,23:06:45
test2night,22:42:06,23:06:44
test2lessnight,22:42:13,23:06:45
test3night,22:42:07,23:06:46
test3lessnight,22:42:10,23:06:46
test4night,22:43:10,23:06:45
test4lessnight,22:43:17,23:06:46
test5night,22:43:22,23:06:45
test5lessnight,22:43:22,23:06:45
12-May,,
test0,10:49:27,10:56:11
test0less,10:49:39,10:56:12
test1,10:49:32,10:56:11
test1less,10:49:37,10:56:12
test2,10:50:38,10:56:12
test2less,10:50:41,10:56:11
test3,10:50:49,10:56:12
test3less,10:50:49,10:56:12
test4,10:51:51,10:56:11
test4less,10:51:51,10:56:12
test5,10:51:57,10:56:06
test5less,10:51:54,10:56:12
test0night,23:14:05,23:38:27
test0lessnight,23:13:41,23:38:32
test1night,23:13:42,23:38:26
test1lessnight,23:14:04,23:38:26
test2night,23:14:50,23:38:26
test2lessnight,23:14:51,23:38:33
test3night,23:15:15,23:38:33
test3lessnight,23:14:52,23:38:26
test4night,23:15:54,23:38:26
test4lessnight,23:16:15,23:38:26
test5night,23:15:50,23:38:27
test5lessnight,23:15:58,23:38:27
13-May,,
test0,11:04:12,11:27:15
test0less,11:04:13,11:27:16
test1,11:04:09,11:27:16
test1less,11:04:12,11:27:16
test2,11:05:20,11:27:15
test2less,11:05:12,11:27:16
test3,11:05:19,11:27:16
test3less,11:05:15,11:27:15
test4,11:06:29,11:27:15
test4less,11:06:21,11:27:16
test5,11:06:51,11:27:16
test5less,11:06:31,11:27:16
14-May,,
test0,13:21:45,13:36:05
test0less,13:21:52,13:36:06
test1,13:21:56,13:36:05
